"id","name","description","created_at","category_id","location_id","is_active","image","is_featured","map_embed","website","rating","address","name_url"
"1","Kawa-Kawa Hill","A scenic eco-tourism park in Ligao City known for its bamboo groves and panoramic hilltop views.","2025-08-21 00:00:00+08","1","1",True,"images/reported_spots/albay/Kawa-Kawa.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15535.955030200894!2d123.54437106227104!3d13.226022043810143!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a109bc8abbfb87%3A0xa308fa836bdef8b5!2sKawa%20Kawa%20Hill!5e0!3m2!1sen!2sph!4v1755764929110!5m2!1sen!2sph","https://www.tripadvisor.com.ph/Attraction_Review-g8505839-d8492361-Reviews-Kawa_Kawa_Hill_and_Natural_Park-Ligao_Albay_Province_Bicol_Region_Luzon.html


","4.8","California Village, Tuburan, Ligao City",""
"2","Mount Masaraga (Campsite)","A hiking and camping site in Ligao City popular among trekkers and nature lovers.","2025-08-21 00:00:00+08","3","1",True,"images/reported_spots/albay/Masaraga.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15530.835516570767!2d123.58172756228927!3d13.30611714265229!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a1a641ac9322e5%3A0xc5a68bccad703da1!2sMount%20Masaraga!5e0!3m2!1sen!2sph!4v1755764896887!5m2!1sen!2sph","https://www.facebook.com/thecampsite.mt.masaraga/

","5","Boundary of Ligao and Tabaco, Albay",""
"3","Tigbao Highlands","A highland spot in Ligao City offering fresh air and panoramic views of the city and nearby mountains.","2025-08-21 00:00:00+08","2","1",True,"images/reported_spots/albay/Tigbao.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3884.532634720904!2d123.51954517590296!3d13.191841487144185!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a10bd936369f81%3A0xd2475184b486ae4f!2sTigbao%20Highlands!5e0!3m2!1sen!2sph!4v1755765318662!5m2!1sen!2sph","https://www.facebook.com/ligaocityal

","4.7","Sitio Tigbao, Ligao City",""
"4","Batong Languyon","A natural swimming site in Ligao City known for its clear waters and unique rock formations.","2025-08-21 00:00:00+08","6","1",True,"images/reported_spots/albay/Languyon.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3887.382849996666!2d123.35566597590041!3d13.011274487307736!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a16b2df1275d77%3A0xbcb6dbd2e3dcc076!2sBatong%20Languyon%20(natural%20rock%20formation)!5e0!3m2!1sen!2sph!4v1755765344967!5m2!1sen!2sph","https://www.facebook.com/languyongbato

","4.8","Barangay Maonon, Ligao City",""
"5","Ligao City Heritage Library & Museum","A cultural museum in the old municipal building showcasing Ligao’s history and heritage.","2025-08-21 00:00:00+08","7","1",True,"images/reported_spots/albay/LigaoMuseum.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3883.765007675054!2d123.53407717590378!3d13.240058687100536!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a109f24a3c702d%3A0x1c52ada3fab55387!2sLigao%20City%20Library%20Heritage%20and%20Museum!5e0!3m2!1sen!2sph!4v1755767373536!5m2!1sen!2sph","https://www.facebook.com/profile.php?id=61550719964973

","4.4","In front of the park, Ligao City (old municipal building)",""
"6","Bloom's beach Resort","A beachside resort in Ligao City providing leisure and family activities.","2025-08-21 00:00:00+08","5","1",True,"images/reported_spots/albay/Bloom.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3886.938744028714!2d123.37441667590089!3d13.03957108728206!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a16dbc099084f7%3A0x4e971b8da41156c!2sBloom%E2%80%99s%20Beach%20Resort!5e0!3m2!1sen!2sph!4v1755767454326!5m2!1sen!2sph","https://www.facebook.com/bloomsbeachresort


","4.8","29QG+RQH, Ligao City, Albay",""
"7","Bernese Resort Hotel","A modern resort hotel in Ligao City offering lodging, dining, and recreation.","2025-08-21 00:00:00+08","8","1",True,"images/reported_spots/albay/Bernese.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3884.0408660504777!2d123.56930207590341!3d13.22275098711613!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a109004ee195c5%3A0x482eafdba613143b!2sBernese%20Resort%20Hotel!5e0!3m2!1sen!2sph!4v1755767474160!5m2!1sen!2sph","https://www.facebook.com/berneseresorthotel","4.7","Purok 5, Brgy. Paulog, Ligao City, Albay",""
"8","Ligao Bed and Breakfast","A cozy bed and breakfast in Ligao City providing homely accommodations.","2025-08-21 00:00:00+08","10","1",True,"images/reported_spots/albay/LigaoBnB.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3883.769195766853!2d123.53525407590344!3d13.239796087100757!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a109f20ea26d1f%3A0x601d30206f318c27!2sLigao%20Bed%20and%20Breakfast!5e0!3m2!1sen!2sph!4v1755767492129!5m2!1sen!2sph","https://www.facebook.com/LigaoBedandBreakfast","4","San Jose St., Dunao, Ligao City, Albay",""
"9","Kuyang’s Bar and Restaurant","A casual bar and restaurant in Ligao City serving local dishes and drinks.","2025-08-21 00:00:00+08","11","1",True,"images/reported_spots/albay/KuyangBnR.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3883.7919688821553!2d123.5361853759035!3d13.2383680871021!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a109f27fd7ee99%3A0x344f1736217a27d1!2sKuyang&#39;s%20Food%20%26%20Bar!5e0!3m2!1sen!2sph!4v1755767531102!5m2!1sen!2sph","https://www.facebook.com/profile.php?id=100057419208966","4.3","San Roque Street, Ligao City",""
"10","La Terraza Restaurant","A family-style restaurant in Ligao City offering Filipino cuisine.","2025-08-21 00:00:00+08","11","1",True,"images/reported_spots/albay/LaTerraza.jpg",False,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3883.923554360785!2d123.5492116759034!3d13.230113987109528!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x33a109be6a22711f%3A0x916a0a6cf2894879!2sLa%20Terraza%20RESTAURANT%20AND%20FUNCTION%20HALL!5e0!3m2!1sen!2sph!4v1755767647406!5m2!1sen!2sph","https://www.facebook.com/laterrazaligao

","4.2","Kawa-Kawa, Tuburan, Ligao City",""
